peopleCd,peopleNm,peopleNmEn,repRoleNm,filmoNames
20308649,안민영,AHN Min-young,배우,"은하수|늦더위|고속도로 가족|인연을 긋다|액션동자|앵커|첫번째 아이|둠둠|말임씨를 부탁해|효자|내일의 기억|마루이 비디오|창밖은 겨울|잔칫날|담쟁이|런 보이 런|비밀의 정원|관계의 가나다에 있는 우리는|좋은 여자|힘을 내요, 미스터 리|창은 |파도치는 땅|홈|당신의 부탁|메모리즈|살아남은 아이|너의 결혼식|타클라마칸|기억의 밤|판타스틱 휴가 백서 : 삼천포 가는 길|아기와 나|그물|탐욕|위선자들|암살|젊은엄마 : 내 나이가 어때서|화끈한 써비스: 어느 잔인한 미용사의|마담 뺑덕|미조|마이 보이|은교|범죄와의 전쟁: 나쁜놈들 전성시대|모비딕|퀴즈왕|너와 나의 21세기|초원빌딩|꽃들도|그리고 집|동상이몽|마더 인 로|타선|옥상에 호랑이|기억의 재구성|복덕방|윤리거리규칙|가슴의 문을 두드려도|면허시험|김밥|물물교환|조문|아름다운 임종|MJ|대환장파티"
20363830,강윤정,,배우,늦더위|기도하는 남자
20346993,정미형,JUNG Mi-hyung,배우,늦더위|거미집|범죄도시3|남산의 부장들|골든슬럼버
20323112,조준희,,배우,혜옥이|습도 다소 높음|갈까부다|다영씨|튼튼이의 모험|벌레|눈물의 의미|임계장
20342473,이동찬,Lee Dong chan,배우,천박사 퇴마 연구소: 설경의 비밀|잠|비밀의 언덕|사랑의 고고학|우리 사랑이 향기로 남을 때|정직한 후보2|오싹한 동거|해피 뉴 이어|침묵|영화전대 춘화레인저|임계장|The CMR2021: 구구단
20318729,김선미,,배우,파로호|괴기맨숀|세자매|82년생 김지영|인어전설|임계장
20375922,노하연,,배우,오! 마이 고스트|뒤틀린 집|내겐 너무 소중한 너|임계장
20366070,이주미,LEE Jumi,배우,"소풍|공중부양|사채소년|커플지옥|아네모네|용감한 시민|솔라 플라워|우리 사랑이 향기로 남을 때|소년을 위로해줘!|3.5교시|말임씨를 부탁해|싱크홀|광대: 소리꾼|습도 다소 높음|삼진그룹 영어토익반|소리꾼|보이스비|아내를 죽였다|시름|사랑을 믿으세요|벌레|양귀비|침묵|매직포션21|우린 동산에서 왔어|미소|역량향상교육|돼지 공은주|비 온 뒤, 차차|임계장|리베라"
20363404,오일영,,배우,82년생 김지영|임계장
20344559,전석찬,,배우,집 이야기|첫잔처럼|우리집|나는보리|높이뛰기|임계장
20284531,이영석,LEE Young-seok,배우,파이프라인|찬란한 나의 복수|뜨거운 피|자산어보|구르는 수레바퀴|이장|우상|항거:유관순 이야기|기묘한 가족|원더풀 고스트|버닝|얼굴들|대역전|임계장|새들이 돌아오는 시간
20357395,강춘성,,배우,리멤버|반도|역량향상교육
20392181,이한솔,,배우,범죄도시3|이웃사촌|천문: 하늘에 묻는다|역량향상교육
20360632,김판겸,,배우,나의 피투성이 연인|인연을 긋다|쇼미더고스트|동백|카센타|역량향상교육|수작
20291530,김제형,,배우,아이|대외비|자백|한강에게|창궐|역량향상교육|산행|여름방학숙제|퍼즐|겨울잠|면도|히어로
20157523,임재민,,배우,외계+인 1부|쇼미더고스트|서복|아워 바디|황해|역량향상교육
20373955,남수현,,배우,세자매|역량향상교육
20364690,윤서정,,배우,정직한 후보|지푸라기라도 잡고 싶은 짐승들|영하의 바람|역량향상교육|쓰는 일
20269830,임채영,,배우,"8인의 용의자들|멜팅포인트|잔챙이|초콜릿|쇼미더고스트|갑둔리 흉가|아메리카 타운|당신, 거기 있어줄래요|홀|다이브|공개채용|역량향상교육"
20327512,오민애,OH Min-ae,배우,"딸에 대하여|주연|첫번째 아이|초록밤|윤시내가 사라졌다|해피 뉴 이어|소울메이트|간호중|그대 너머에|비밀의 정원|자전차왕 엄복동|봄이가도|범죄도시|여배우는 오늘도|원라인|우리집|더 파이브|고령화 가족|미나문방구|여고괴담 두번째 이야기|라스트 스탠드|심장의 벌레|기형종|이립잔치|이어,지다|현수막|오 즐거운 나의  집|주문진에서 주윤발을 만난다면|무력의 언어|역량향상교육|여인과 사자|불모지|넘어져도|딩크족|살사 맛 잡채|털괴|굿 마더|밥상 행사|전 부치러 왔습니다|나의 새라씨|잊혀진 겨울|몰디브 환상특급|기기묘묘"
20305350,임호준,LIM Ho-jun,배우,파묘|벗어날 탈 脫|진주의 진주|복지식당|열아홉|미스터 장|라임크라임|잔칫날|입천장 까지도록 와그작|흩어진 밤|관계의 가나다에 있는 우리는|야구소녀|이장|지푸라기라도 잡고 싶은 짐승들|내가 사는 세상|어나더타운|나는 할아버지가 가장 예뻐하던 손녀였다|역량향상교육|그 표정|나의 자리|악당의 사연|공명선거|쇼피알|호루라기
